2020-06-03 12:35:09,067 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (1, '今日推荐', 1)
2020-06-03 12:35:09,078 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (2, '女装', 1)
2020-06-03 12:35:09,079 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (5, '男装', 1)
2020-06-03 12:35:09,080 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (3, '美妆护肤', 1)
2020-06-03 12:35:09,081 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (4, '配饰', 1)
2020-06-03 12:35:09,082 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (13, '女鞋', 1)
2020-06-03 12:35:09,084 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (19, '男鞋', 1)
2020-06-03 12:35:09,085 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (10, '零食', 1)
2020-06-03 12:35:09,086 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (16, '内衣袜子', 1)
2020-06-03 12:35:09,087 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (24, '母婴用品', 1)
2020-06-03 12:35:09,087 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (14, '箱包', 1)
2020-06-03 12:35:09,088 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (15, '个人洗护', 1)
2020-06-03 12:35:09,089 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (12, '数码家电', 1)
2020-06-03 12:35:09,090 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (17, '成人用品', 1)
2020-06-03 12:35:09,092 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (7, '日用家居', 1)
2020-06-03 12:35:09,094 【INFO】【sql】:insert into tabs (`tab_id`, `name`, `state`) values (11, '文体娱乐', 1)
2020-06-03 12:35:19,291 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (1686011, 109201687, '549279508984', '3元券', '3天后过期', '2020-06-06', 'https://uland.taobao.com/coupon/edetail?e=F0Mj0inDaE0GQASttHIRqYAa5WheSdvdzZlpKeDqiF4lo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnY5o4D1p%2B96zK0TeAL%2BmcF1u6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BHgi%2FogCwSWSiie%2FpBy9wBFg%3D%3D&traceId=0b01517115911587710258419e&union_lens=lensId:TAPI@1591158771@0b081808_0dbb_17278740d5e_4f4f@01&xId=1344DVqLjsN70jnow68AKVDPhsYsNed4JME1lLuRMJSdPMQxOtbbiDjmuUS9kV91wwNYpE8qBvnTaPKZWqIdL4RubQOY4dB2yLTw72I8bGHA&nowake=1', 1)
2020-06-03 12:35:19,673 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (4085429, 151516301, '574321616328', '3元券', '55天后过期', '2020-07-28', 'https://uland.taobao.com/coupon/edetail?e=sVtCAq%2F60cIGQASttHIRqYChxq7Y6iM%2FJ9IlJWFhYxslo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnY5o4D1p%2B96zK0TeAL%2BmcF1u6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BHFsVhVrpV6U%2Bie%2FpBy9wBFg%3D%3D&traceId=0b0b74a015911431125653120e&union_lens=lensId:TAPI@1591143112@0b0b13b8_0dd4_17277851f8f_c283@01&xId=7e4PBfd0YxXFzBO7jhhPFxKSaybc20mqTFXQNLflfORALkiKs0mmymnYd9wNxGYl0sMSk1E4CrZ2BUVLXOte5kecNfYmgU3hvl4771bo4GWi&nowake=1', 1)
2020-06-03 12:35:19,892 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (21986131, 149608088, '596888730903', '2元券', '27天后过期', '2020-06-30', 'https://uland.taobao.com/coupon/edetail?e=WhNkE3GB3JAGQASttHIRqbeA2VZp6jLmqRfSSxTsETT3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpFpE8gsalPHkhGlj1vlHTbVIJ1GtccYOa4%2B%2F7FM2YL2yvsnwWZGSCD41ug731VBEQm0m3Ckm6GN2CwynAdGnOngMmnVmWO1H8v0b7kPOLrokFLajOROSSHlz7gyL1uRUzhKiPHyo0qo1Q%3D%3D&traceId=0b0856ff15911407305627602e&union_lens=lensId:TAPI@1591140730@0b0ad760_0da3_1727760c6ca_2c1f@01&xId=5k62Vg7LsigcChOuGJaTpQeGu1vi6Vm3rrrk7AoRsxGYmINWOhwcwNMjf5yocD2sVSGQu6JYb3xuez0ru2UjFwOtj66RCMIZKyH3SxHBUcSK&nowake=1', 1)
2020-06-03 12:35:19,947 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (4202037, 112839401, '569607417486', '', '', None, 'https://s.click.taobao.com/6Vxfwgv', 1)
2020-06-03 12:35:19,985 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (1208537, 113619979, '538362151361', '10元券', '3天后过期', '2020-06-06', 'https://uland.taobao.com/coupon/edetail?e=llv0FMikzX0GQASttHIRqbCPXZ8q0lXVfgFhC3NsHd8lo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnY5o4D1p%2B96zK0TeAL%2BmcF1u6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BHnjUGw3O3Ytiie%2FpBy9wBFg%3D%3D&traceId=0b1586fb15911563926708036e&union_lens=lensId:TAPI@1591156392@0b0ad760_0da3_172784fc2e5_cab9@01&xId=5AU55NHKZEl1O9gZqelyunuremgoMkz86FKnfw4KKXPihEChlG8rYZGjFbfxmtpQ4zYVMeAJUr8RyEacGSHmdBW7GTUSvOUBNavHQ60wKTGv&nowake=1', 1)
2020-06-03 12:35:20,001 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (15061092, 547980482, '589096444683', '', '', None, 'https://s.click.taobao.com/3Y34wgv', 1)
2020-06-03 12:35:20,108 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (7666033, 112609613, '584448728910', '', '', None, 'https://s.click.taobao.com/EG2jxgv', 1)
2020-06-03 12:35:20,115 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (11555577, 64811113, '577167847903', '2元券', '27天后过期', '2020-06-30', 'https://uland.taobao.com/coupon/edetail?e=H3SwMk8r850GQASttHIRqT4La5EPcUsCqRfSSxTsETQlo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnY5o4D1p%2B96zK0TeAL%2BmcF1u6VV5gOm07gLue%2FvdciV01ZrtTOLgXkcjDppvlX%2Bob%2BBtHA6T8TZnVSoRmIuF7TBSn4qX%2BrddxiIzb5q33FYZtl4X1VWjKah%2FRfaDYS8NPhj1IsWhQzdMg%3D%3D&traceId=0b01ce8315911440971345723e&union_lens=lensId:TAPI@1591144097@0b5797e2_0d91_1727794257c_8b11@01&xId=2WWwYdd8UIfX9mSOhsPZoQLaBF1F19InH4yMbABgwQAWjnzXd9ueqZmaRqql9KlxjiK0iCnvlBhSH0AVSxsrDUrawLR8QZBxUUnYUSEuLeAR&nowake=1', 1)
2020-06-03 12:35:20,202 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (14416543, 156201220, '591110678873', '', '', None, 'https://s.click.taobao.com/osTgxgv', 1)
2020-06-03 12:35:20,203 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (36902477, 434057242, '614759593769', '20元券', '1天后过期', '2020-06-04', 'https://uland.taobao.com/coupon/edetail?e=ZDjAmEWJb0gE%2BdAb1JoOOu2xOqTVsd4MQMXL86LR2hP3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpEVKZdMa0Np2Pa0Deg7SDBgIJ1GtccYOa4%2B%2F7FM2YL2yvsnwWZGSCD41ug731VBEQm0m3Ckm6GN2CwynAdGnOngMmnVmWO1H8v0b7kPOLrokFLajOROSSHltiwZ6RaLNE9I%2BxrCpvVcAA%3D%3D&traceId=0bba882815911582001607971e&union_lens=lensId:TAPI@1591158200@0b00aee1_0e82_172786b5769_6794@01&xId=2wd05GgnvCYLBYowkra9zfO31QOcoxZHbVAXCVuwJkblXtmwrqhR4ujBkEPxVr1trC3Rf7CWEsxxP2FuCybHbICXZbTJHGyxLLZ31UKqcAzE&nowake=1', 1)
2020-06-03 12:35:20,250 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (7668070, 162865172, '569007199567', '', '', None, 'https://s.click.taobao.com/mKn1xgv', 1)
2020-06-03 12:35:20,300 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (2758331, 111976390, '560034382770', '2元券', '11小时后过期', '2020-06-03', 'https://uland.taobao.com/coupon/edetail?e=jyagEWYcGaEGQASttHIRqZgdBpWvNvV6u3MRe3Z3vVv3iKmh8D5SnLRS9aRdQNtiuGLjUECKJpEVKZdMa0Np2Pa0Deg7SDBgIJ1GtccYOa4%2B%2F7FM2YL2yuT3b4zuHjpz1ug731VBEQm1M7QmaYJz9PFaBe2GOkPYHvfjMSYvfkGji5Mwp8diMGVfMXUr%2BXg3laLo%2F5Lmd1%2BMt3e%2F%2F3Xs1gABhauom1L5&traceId=0b0ae6c115911523807525745e&union_lens=lensId:TAPI@1591152380@0b5952e1_0dc6_17278128b63_5722@01&xId=6jW7mXKgYNwJYf6pB9qMCzAmI82WySJqQBscf1WdibK48oMWHwWQfbAC5p0bt05WKnsRcsNvo0k0cpgbbPYL6RHuisazerBfXAh3HdTZHMvI&nowake=1', 1)
2020-06-03 12:35:20,350 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (11925444, 107681283, '590574038633', '', '', None, 'https://s.click.taobao.com/My4jxgv', 1)
2020-06-03 12:35:20,382 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (1851901, 443694726, '557971077254', '', '', None, 'https://s.click.taobao.com/UJH8wgv', 1)
2020-06-03 12:35:20,411 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (16611919, 228298081, '594224784547', '10元券', '1天后过期', '2020-06-04', 'https://uland.taobao.com/coupon/edetail?e=GN2UM2u78ucGQASttHIRqaQ%2F1i4zJyjmSciUFPPDyQclo30h2xw3191jDoXW5ZRiv8C0%2Fs5pBnY5o4D1p%2B96zK0TeAL%2BmcF1u6VV5gOm07gLue%2FvdciV0xemP0hpIIPvjDppvlX%2Bob8NlNJBuapvQ2MDg9t1zp0RaJ8u5gORA%2B8H6m0U5fkEWEMuxoRQ3C%2BHPdHjWwun9sGie%2FpBy9wBFg%3D%3D&traceId=0b093a3315911403791652163e&union_lens=lensId:TAPI@1591140379@0b0aff46_0df0_172775b6a28_1ae2@01&xId=1PpCpagZYVQ37eg01EbYdEzTbtRl8UMW602hVgIrODz9cB7avllR3Kb5bCGJSGGzXBXdYqJxirS0YCQGJEizelhPItAG6iezVV9tXh6oKOYa&nowake=1', 1)
2020-06-03 12:35:20,496 【INFO】【sql】:insert into details (`product_id`, `shop_id`, `commodity_id`, `coupon_value`, `expire_msg`, `expire_date`, `url`, `state`) values (36643177, 223637034, '614178944606', '', '', None, 'https://s.click.taobao.com/mRqcwgv', 1)
